type,step,episode_id,time_s,robot_x,robot_y,robot_vx,robot_vy
step,85,0,17.000,12.112,2.067,0.800,0.000
step,86,0,17.200,12.272,2.067,0.800,0.000
step,87,0,17.400,12.432,2.067,0.800,0.000
step,88,0,17.600,12.592,2.067,0.800,0.000
step,89,0,17.800,12.752,2.067,0.800,0.000
step,90,0,18.000,12.912,2.067,0.800,0.000
step,91,0,18.200,13.072,2.067,0.800,0.000
step,92,0,18.400,13.232,2.067,0.800,0.000
step,93,0,18.600,13.392,2.067,0.800,0.000
step,94,0,18.800,13.552,2.067,0.800,0.000
step,95,0,19.000,13.712,2.067,0.800,0.000
step,96,0,19.200,13.872,2.067,0.800,0.000
step,97,0,19.400,14.032,2.067,0.800,0.000
step,98,0,19.600,14.192,2.067,0.800,0.000
step,99,0,19.800,14.352,2.067,0.800,0.000
step,100,0,20.000,14.512,2.067,0.800,0.000
step,101,0,20.200,14.672,2.067,0.800,0.000
step,102,0,20.400,14.832,2.067,0.800,0.000
step,103,0,20.600,14.992,2.067,0.800,0.000
step,104,0,20.800,15.152,2.067,0.800,0.000
step,105,0,21.000,15.312,2.067,0.800,0.000
step,106,0,21.200,15.472,2.067,0.800,0.000
step,107,0,21.400,15.632,2.067,0.800,0.000
step,108,0,21.600,15.792,2.067,0.800,0.000
step,109,0,21.800,15.952,2.067,0.800,0.000
step,110,0,22.000,16.112,2.067,0.800,0.000
step,111,0,22.200,16.272,2.067,0.800,0.000
step,112,0,22.400,16.432,2.067,0.800,0.000
step,113,0,22.600,16.592,2.067,0.800,0.000
step,114,0,22.800,16.752,2.067,0.800,0.000
step,115,0,23.000,16.912,2.067,0.800,0.000
step,116,0,23.201,17.072,2.067,0.800,0.000
step,117,0,23.400,17.232,2.067,0.800,0.000
step,118,0,23.600,17.392,2.067,0.800,0.000
step,119,0,23.800,17.552,2.067,0.800,0.000
step,120,0,24.000,17.712,2.067,0.800,0.000
step,121,0,24.200,17.872,2.067,0.800,0.000
step,122,0,24.400,18.032,2.067,0.800,0.000
step,123,0,24.600,18.192,2.067,0.800,0.000
step,124,0,24.800,18.352,2.067,0.800,0.000
step,125,0,25.000,18.512,2.067,0.800,0.000
step,126,0,25.200,18.672,2.067,0.800,0.000
step,127,0,25.400,18.832,2.067,0.800,0.000
step,128,0,25.600,18.992,2.067,0.800,0.000
step,129,0,25.800,19.152,2.067,0.800,0.000
step,130,0,26.000,19.312,2.067,0.800,0.000
step,131,0,26.200,19.472,2.067,0.800,0.000
step,132,0,26.400,19.632,2.067,0.800,0.000
step,133,0,26.600,19.792,2.067,0.800,0.000
