type,step,episode_id,time_s,robot_x,robot_y,robot_vx,robot_vy
step,1,0,0.200,-0.850,0.644,0.739,-0.306
step,2,0,0.400,-0.703,0.583,0.739,-0.306
step,3,0,0.600,-0.555,0.522,0.739,-0.306
step,4,0,0.800,-0.395,0.522,0.800,0.000
step,5,0,1.000,-0.235,0.522,0.800,0.000
step,6,0,1.200,-0.075,0.522,0.800,0.000
step,7,0,1.400,0.073,0.460,0.739,-0.306
step,8,0,1.600,0.233,0.460,0.800,0.000
step,9,0,1.800,0.381,0.522,0.739,0.306
step,10,0,2.000,0.529,0.583,0.739,0.306
step,11,0,2.200,0.677,0.644,0.739,0.306
step,12,0,2.400,0.790,0.757,0.566,0.566
step,13,0,2.601,0.903,0.870,0.566,0.566
step,14,0,2.800,1.016,0.983,0.566,0.566
step,15,0,3.000,1.129,1.097,0.566,0.566
step,16,0,3.200,1.242,1.210,0.566,0.566
step,17,0,3.400,1.390,1.271,0.739,0.306
step,18,0,3.600,1.538,1.332,0.739,0.306
step,19,0,3.800,1.686,1.393,0.739,0.306
step,20,0,4.000,1.834,1.455,0.739,0.306
step,21,0,4.200,1.981,1.516,0.739,0.306
step,22,0,4.400,2.129,1.577,0.739,0.306
step,23,0,4.600,2.277,1.638,0.739,0.306
step,24,0,4.800,2.425,1.700,0.739,0.306
step,25,0,5.000,2.585,1.700,0.800,0.000
step,26,0,5.200,2.733,1.761,0.739,0.306
step,27,0,5.400,2.880,1.822,0.739,0.306
step,28,0,5.600,3.028,1.883,0.739,0.306
step,29,0,5.800,3.176,1.944,0.739,0.306
step,30,0,6.001,3.324,2.006,0.739,0.306
step,31,0,6.200,3.472,2.067,0.739,0.306
step,32,0,6.400,3.632,2.067,0.800,0.000
step,33,0,6.600,3.792,2.067,0.800,0.000
step,34,0,6.800,3.952,2.067,0.800,0.000
step,35,0,7.000,4.112,2.067,0.800,0.000
step,36,0,7.200,4.272,2.067,0.800,0.000
step,37,0,7.400,4.432,2.067,0.800,0.000
step,38,0,7.600,4.592,2.067,0.800,0.000
step,39,0,7.800,4.752,2.067,0.800,0.000
step,40,0,8.000,4.912,2.067,0.800,0.000
step,41,0,8.200,5.072,2.067,0.800,0.000
step,42,0,8.400,5.232,2.067,0.800,0.000
step,43,0,8.600,5.392,2.067,0.800,0.000
step,44,0,8.800,5.552,2.067,0.800,0.000
step,45,0,9.000,5.712,2.067,0.800,0.000
step,46,0,9.200,5.872,2.067,0.800,0.000
step,47,0,9.400,6.032,2.067,0.800,0.000
step,48,0,9.600,6.192,2.067,0.800,0.000
step,49,0,9.800,6.352,2.067,0.800,0.000
step,50,0,10.000,6.512,2.067,0.800,0.000
step,51,0,10.200,6.672,2.067,0.800,0.000
step,52,0,10.400,6.832,2.067,0.800,0.000
step,53,0,10.600,6.992,2.067,0.800,0.000
step,54,0,10.800,7.152,2.067,0.800,0.000
step,55,0,11.000,7.312,2.067,0.800,0.000
step,56,0,11.200,7.472,2.067,0.800,0.000
step,57,0,11.400,7.632,2.067,0.800,0.000
step,58,0,11.600,7.792,2.067,0.800,0.000
step,59,0,11.800,7.952,2.067,0.800,0.000
step,60,0,12.001,8.112,2.067,0.800,0.000
step,61,0,12.200,8.272,2.067,0.800,0.000
step,62,0,12.400,8.432,2.067,0.800,0.000
step,63,0,12.600,8.592,2.067,0.800,0.000
step,64,0,12.800,8.752,2.067,0.800,0.000
step,65,0,13.000,8.912,2.067,0.800,0.000
step,66,0,13.200,9.072,2.067,0.800,0.000
step,67,0,13.400,9.232,2.067,0.800,0.000
step,68,0,13.600,9.392,2.067,0.800,0.000
step,69,0,13.800,9.552,2.067,0.800,0.000
step,70,0,14.000,9.712,2.067,0.800,0.000
step,71,0,14.200,9.872,2.067,0.800,0.000
step,72,0,14.400,10.032,2.067,0.800,0.000
step,73,0,14.600,10.192,2.067,0.800,0.000
step,74,0,14.800,10.352,2.067,0.800,0.000
step,75,0,15.000,10.512,2.067,0.800,0.000
step,76,0,15.200,10.672,2.067,0.800,0.000
step,77,0,15.400,10.832,2.067,0.800,0.000
step,78,0,15.600,10.992,2.067,0.800,0.000
step,79,0,15.800,11.152,2.067,0.800,0.000
step,80,0,16.000,11.312,2.067,0.800,0.000
step,81,0,16.200,11.472,2.067,0.800,0.000
step,82,0,16.400,11.632,2.067,0.800,0.000
step,83,0,16.600,11.792,2.067,0.800,0.000
step,84,0,16.800,11.952,2.067,0.800,0.000
