step,episode_id,time_s,rx,ry,rvx,rvy
1,0,0.201,-1.342,-0.365,0.739,-0.306
2,0,0.400,-1.194,-0.426,0.739,-0.306
3,0,0.600,-1.046,-0.487,0.739,-0.306
4,0,0.800,-0.898,-0.548,0.739,-0.306
5,0,1.000,-0.738,-0.548,0.800,0.000
6,0,1.200,-0.591,-0.487,0.739,0.306
7,0,1.400,-0.529,-0.339,0.306,0.739
8,0,1.600,-0.537,-0.358,-0.039,-0.095
9,0,1.800,-0.537,-0.473,-0.000,-0.571
10,0,2.000,-0.505,-0.505,0.162,-0.162
11,0,2.200,-0.461,-0.610,0.218,-0.527
12,0,2.400,-0.461,-0.770,-0.000,-0.800
13,0,2.600,-0.348,-0.883,0.566,-0.566
14,0,2.800,-0.200,-0.945,0.739,-0.306
15,0,3.000,-0.086,-0.945,0.571,0.000
16,0,3.200,0.074,-0.945,0.800,0.000
17,0,3.400,0.222,-0.883,0.739,0.306
18,0,3.600,0.370,-0.822,0.739,0.306
19,0,3.800,0.475,-0.779,0.527,0.218
20,0,4.000,0.623,-0.717,0.739,0.306
21,0,4.200,0.783,-0.717,0.800,0.000
22,0,4.400,0.943,-0.717,0.800,0.000
23,0,4.600,1.103,-0.717,0.800,0.000
24,0,4.800,1.263,-0.717,0.800,0.000
25,0,5.000,1.423,-0.717,0.800,0.000
26,0,5.200,1.571,-0.656,0.739,0.306
27,0,5.400,1.718,-0.595,0.739,0.306
28,0,5.600,1.866,-0.534,0.739,0.306
29,0,5.800,2.014,-0.472,0.739,0.306
30,0,6.000,2.174,-0.472,0.800,0.000
31,0,6.200,2.334,-0.472,0.800,0.000
32,0,6.400,2.494,-0.472,0.800,0.000
33,0,6.600,2.654,-0.472,0.800,0.000
34,0,6.800,2.814,-0.472,0.800,0.000
35,0,7.000,2.962,-0.534,0.739,-0.306
36,0,7.200,3.122,-0.534,0.800,0.000
37,0,7.400,3.282,-0.534,0.800,0.000
38,0,7.600,3.442,-0.534,0.800,0.000
39,0,7.800,3.590,-0.472,0.739,0.306
40,0,8.000,3.750,-0.472,0.800,0.000
41,0,8.200,3.898,-0.411,0.739,0.306
42,0,8.400,4.058,-0.411,0.800,0.000
43,0,8.600,4.218,-0.411,0.800,0.000
44,0,8.800,4.378,-0.411,0.800,0.000
45,0,9.000,4.538,-0.411,0.800,0.000
46,0,9.200,4.698,-0.411,0.800,0.000
47,0,9.400,4.858,-0.411,0.800,0.000
48,0,9.600,5.018,-0.411,0.800,0.000
49,0,9.800,5.178,-0.411,0.800,0.000
50,0,10.000,5.338,-0.411,0.800,0.000
51,0,10.200,5.498,-0.411,0.800,0.000
52,0,10.400,5.658,-0.411,0.800,0.000
53,0,10.601,5.818,-0.411,0.800,0.000
54,0,10.800,5.978,-0.411,0.800,0.000
55,0,11.000,6.138,-0.411,0.800,0.000
56,0,11.200,6.298,-0.411,0.800,0.000
57,0,11.400,6.458,-0.411,0.800,0.000
58,0,11.600,6.538,-0.331,0.403,0.403
59,0,11.800,6.698,-0.331,0.800,0.000
