type,step,episode_id,time_s,robot_x,robot_y,robot_vx,robot_vy,agent_i,agent_x,agent_y,dist,angle_deg,collisions,min_dist,episode_steps,episode_time
step,1,0,0.200,1.207,0.001,0.566,0.566,0,1.108,1.530,1.533,93.686,,,,
step,1,0,0.200,1.207,0.001,0.566,0.566,1,0.102,0.840,1.388,142.787,,,,
step,1,0,0.200,1.207,0.001,0.566,0.566,2,-1.710,1.761,3.407,148.887,,,,
step,1,0,0.200,1.207,0.001,0.566,0.566,3,-1.473,1.570,3.105,149.648,,,,
step,1,0,0.200,1.207,0.001,0.566,0.566,4,0.796,0.623,0.746,123.443,,,,
step,1,0,0.200,1.207,0.001,0.566,0.566,5,1.217,-0.755,0.756,-89.196,,,,
step,1,0,0.200,1.207,0.001,0.566,0.566,6,0.718,-1.268,1.359,-111.070,,,,
step,1,0,0.200,1.207,0.001,0.566,0.566,7,0.977,1.454,1.472,98.992,,,,
step,1,0,0.200,1.207,0.001,0.566,0.566,8,1.404,1.587,1.599,82.910,,,,
step,1,0,0.200,1.207,0.001,0.566,0.566,9,1.543,-0.872,0.935,-68.954,,,,
step,1,0,0.200,1.207,0.001,0.566,0.566,10,0.307,-0.320,0.955,-160.406,,,,
step,1,0,0.200,1.207,0.001,0.566,0.566,11,0.495,-1.620,1.770,-113.710,,,,
step,1,0,0.200,1.207,0.001,0.566,0.566,12,-0.773,-1.804,2.679,-137.647,,,,
step,1,0,0.200,1.207,0.001,0.566,0.566,13,0.439,-0.252,0.808,-161.759,,,,
step,1,0,0.200,1.207,0.001,0.566,0.566,14,1.497,1.840,1.862,81.026,,,,
step,2,0,0.400,1.287,0.081,0.403,0.403,0,1.108,1.530,1.460,97.053,,,,
step,2,0,0.400,1.287,0.081,0.403,0.403,1,0.102,0.840,1.408,147.395,,,,
step,2,0,0.400,1.287,0.081,0.403,0.403,2,-1.710,1.761,3.436,150.734,,,,
step,2,0,0.400,1.287,0.081,0.403,0.403,3,-1.584,1.570,3.234,152.604,,,,
step,2,0,0.400,1.287,0.081,0.403,0.403,4,0.796,0.623,0.732,132.232,,,,
step,2,0,0.400,1.287,0.081,0.403,0.403,5,1.217,-0.755,0.840,-94.788,,,,
step,2,0,0.400,1.287,0.081,0.403,0.403,6,0.719,-1.304,1.497,-112.322,,,,
