step,episode_id,time_s,rx,ry,rvx,rvy
1,0,0.200,-1.776,-1.526,0.739,-0.306
2,0,0.400,-1.616,-1.526,0.800,0.000
3,0,0.600,-1.456,-1.526,0.800,0.000
4,0,0.800,-1.296,-1.526,0.800,0.000
5,0,1.000,-1.136,-1.526,0.800,0.000
6,0,1.200,-0.976,-1.526,0.800,0.000
7,0,1.400,-0.816,-1.526,0.800,0.000
8,0,1.600,-0.656,-1.526,0.800,0.000
9,0,1.800,-0.496,-1.526,0.800,0.000
10,0,2.000,-0.336,-1.526,0.800,0.000
11,0,2.200,-0.176,-1.526,0.800,0.000
12,0,2.400,-0.062,-1.639,0.566,-0.566
13,0,2.600,0.051,-1.752,0.566,-0.566
14,0,2.800,0.211,-1.752,0.800,0.000
15,0,3.000,0.371,-1.752,0.800,0.000
16,0,3.200,0.518,-1.813,0.739,-0.306
17,0,3.400,0.633,-1.813,0.571,0.000
18,0,3.600,0.780,-1.752,0.739,0.306
19,0,3.800,0.823,-1.734,0.212,0.088
20,0,4.000,0.936,-1.621,0.566,0.566
21,0,4.200,1.084,-1.560,0.739,0.306
22,0,4.400,0.971,-1.447,-0.566,0.566
23,0,4.600,0.909,-1.299,-0.306,0.739
24,0,4.800,0.880,-1.228,-0.146,0.354
25,0,5.000,0.859,-1.228,-0.103,0.000
26,0,5.200,0.746,-1.342,-0.566,-0.566
27,0,5.400,0.666,-1.261,-0.403,0.403
28,0,5.600,0.622,-1.155,-0.218,0.527
29,0,5.800,0.474,-1.217,-0.739,-0.306
30,0,6.000,0.474,-1.057,0.000,0.800
31,0,6.200,0.474,-0.897,0.000,0.800
32,0,6.400,0.587,-0.783,0.566,0.566
33,0,6.600,0.735,-0.722,0.739,0.306
34,0,6.800,0.895,-0.722,0.800,0.000
35,0,7.000,1.043,-0.661,0.739,0.306
36,0,7.200,1.191,-0.600,0.739,0.306
37,0,7.400,1.351,-0.600,0.800,0.000
38,0,7.600,1.511,-0.600,0.800,0.000
39,0,7.800,1.671,-0.600,0.800,0.000
40,0,8.000,1.819,-0.661,0.739,-0.306
41,0,8.200,1.979,-0.661,0.800,0.000
42,0,8.400,2.139,-0.661,0.800,0.000
43,0,8.600,2.299,-0.661,0.800,0.000
44,0,8.800,2.459,-0.661,0.800,0.000
45,0,9.000,2.619,-0.661,0.800,0.000
46,0,9.200,2.779,-0.661,0.800,0.000
47,0,9.400,2.884,-0.705,0.527,-0.218
48,0,9.600,3.032,-0.643,0.739,0.306
49,0,9.800,3.192,-0.643,0.800,0.000
50,0,10.000,3.352,-0.643,0.800,0.000
51,0,10.200,3.512,-0.643,0.800,0.000
52,0,10.400,3.660,-0.582,0.739,0.306
53,0,10.600,3.820,-0.582,0.800,0.000
54,0,10.800,3.980,-0.582,0.800,0.000
55,0,11.000,4.140,-0.582,0.800,0.000
56,0,11.200,4.287,-0.521,0.739,0.306
57,0,11.400,4.268,-0.529,-0.095,-0.039
58,0,11.600,4.416,-0.590,0.739,-0.306
59,0,11.800,4.564,-0.651,0.739,-0.306
60,0,12.000,4.712,-0.713,0.739,-0.306
61,0,12.200,4.860,-0.774,0.739,-0.306
62,0,12.400,4.746,-0.887,-0.566,-0.566
63,0,12.600,4.761,-0.902,0.073,-0.073
64,0,12.800,4.838,-0.902,0.383,0.000
65,0,13.000,4.724,-1.015,-0.566,-0.566
66,0,13.200,4.681,-1.120,-0.218,-0.527
67,0,13.400,4.695,-1.106,0.073,0.073
68,0,13.600,4.548,-1.167,-0.739,-0.306
69,0,13.800,4.504,-1.272,-0.218,-0.527
70,0,14.000,4.356,-1.333,-0.739,-0.306
71,0,14.200,4.356,-1.493,-0.000,-0.800
72,0,14.400,4.324,-1.461,-0.162,0.162
73,0,14.600,4.438,-1.461,0.571,0.000
74,0,14.800,4.458,-1.461,0.103,0.000
75,0,15.000,4.298,-1.461,-0.800,0.000
76,0,15.200,4.404,-1.417,0.527,0.218
77,0,15.400,4.256,-1.479,-0.739,-0.306
78,0,15.600,4.369,-1.365,0.566,0.566
79,0,15.800,4.517,-1.304,0.739,0.306
80,0,16.000,4.578,-1.156,0.306,0.739
81,0,16.200,4.726,-1.095,0.739,0.306
82,0,16.400,4.886,-1.095,0.800,0.000
83,0,16.600,4.857,-1.024,-0.146,0.354
84,0,16.800,4.796,-0.877,-0.306,0.739
85,0,17.000,4.781,-0.862,-0.073,0.073
86,0,17.200,4.781,-0.908,-0.000,-0.229
87,0,17.400,4.835,-0.854,0.271,0.271
88,0,17.600,4.835,-0.777,0.000,0.383
