step,episode_id,time_s,rx,ry,rvx,rvy
1,0,0.200,0.369,-0.551,-0.212,0.088
2,0,0.400,0.256,-0.438,-0.566,0.566
3,0,0.600,0.143,-0.325,-0.566,0.566
4,0,0.800,0.143,-0.165,0.000,0.800
5,0,1.000,0.256,-0.052,0.566,0.566
6,0,1.200,0.369,0.062,0.566,0.566
7,0,1.400,0.482,0.175,0.566,0.566
8,0,1.600,0.630,0.113,0.739,-0.306
9,0,1.800,0.701,0.084,0.354,-0.146
10,0,2.000,0.762,0.232,0.306,0.739
11,0,2.200,0.783,0.232,0.103,0.000
12,0,2.400,0.888,0.188,0.527,-0.218
13,0,2.600,0.874,0.203,-0.073,0.073
14,0,2.800,0.917,0.308,0.218,0.527
15,0,3.000,0.804,0.422,-0.566,0.566
16,0,3.200,0.917,0.535,0.566,0.566
17,0,3.400,1.077,0.535,0.800,0.000
18,0,3.600,0.930,0.596,-0.739,0.306
19,0,3.800,0.991,0.744,0.306,0.739
20,0,4.000,0.878,0.857,-0.566,0.566
21,0,4.200,0.834,0.751,-0.218,-0.527
22,0,4.400,0.994,0.751,0.800,0.000
23,0,4.600,1.009,0.737,0.073,-0.073
24,0,4.800,1.054,0.737,0.229,0.000
25,0,5.000,1.054,0.851,0.000,0.571
26,0,5.200,1.160,0.895,0.527,0.218
27,0,5.400,1.177,0.852,0.088,-0.212
28,0,5.600,1.072,0.809,-0.527,-0.218
29,0,5.800,1.028,0.703,-0.218,-0.527
30,0,6.000,1.061,0.671,0.162,-0.162
31,0,6.200,1.061,0.625,-0.000,-0.229
32,0,6.400,1.053,0.606,-0.039,-0.095
33,0,6.600,1.167,0.606,0.571,0.000
34,0,6.800,1.327,0.606,0.800,0.000
35,0,7.000,1.487,0.606,0.800,0.000
36,0,7.200,1.487,0.652,0.000,0.229
37,0,7.400,1.558,0.622,0.354,-0.146
38,0,7.600,1.718,0.622,0.800,0.000
39,0,7.800,1.878,0.622,0.800,0.000
40,0,8.000,2.038,0.622,0.800,0.000
41,0,8.200,2.198,0.622,0.800,0.000
42,0,8.400,2.083,0.622,-0.571,0.000
43,0,8.600,2.189,0.579,0.527,-0.218
44,0,8.800,2.349,0.579,0.800,0.000
45,0,9.000,2.393,0.473,0.218,-0.527
46,0,9.200,2.553,0.473,0.800,0.000
47,0,9.400,2.700,0.412,0.739,-0.306
48,0,9.600,2.860,0.412,0.800,0.000
49,0,9.800,3.008,0.351,0.739,-0.306
50,0,10.000,3.168,0.351,0.800,0.000
51,0,10.200,3.328,0.351,0.800,0.000
52,0,10.400,3.488,0.351,0.800,0.000
53,0,10.600,3.594,0.395,0.527,0.218
54,0,10.800,3.708,0.395,0.571,0.000
55,0,11.000,3.868,0.395,0.800,0.000
56,0,11.200,4.028,0.395,0.800,0.000
57,0,11.400,4.188,0.395,0.800,0.000
58,0,11.600,4.348,0.395,0.800,0.000
59,0,11.800,4.462,0.395,0.571,0.000
60,0,12.000,4.622,0.395,0.800,0.000
61,0,12.200,4.782,0.395,0.800,0.000
62,0,12.400,4.942,0.395,0.800,0.000
63,0,12.600,5.102,0.395,0.800,0.000
64,0,12.800,5.262,0.395,0.800,0.000
65,0,13.000,5.422,0.395,0.800,0.000
66,0,13.200,5.582,0.395,0.800,0.000
67,0,13.400,5.742,0.395,0.800,0.000
68,0,13.600,5.902,0.395,0.800,0.000
69,0,13.800,6.062,0.395,0.800,0.000
70,0,14.000,6.222,0.395,0.800,0.000
71,0,14.200,6.382,0.395,0.800,0.000
72,0,14.400,6.542,0.395,0.800,0.000
73,0,14.600,6.702,0.395,0.800,0.000
74,0,14.801,6.862,0.395,0.800,0.000
75,0,15.000,7.022,0.395,0.800,0.000
76,0,15.200,7.182,0.395,0.800,0.000
77,0,15.400,7.342,0.395,0.800,0.000
78,0,15.600,7.502,0.395,0.800,0.000
79,0,15.801,7.662,0.395,0.800,0.000
80,0,16.000,7.822,0.395,0.800,0.000
81,0,16.200,7.982,0.395,0.800,0.000
82,0,16.400,8.130,0.333,0.739,-0.306
83,0,16.600,8.290,0.333,0.800,0.000
84,0,16.800,8.450,0.333,0.800,0.000
85,0,17.000,8.610,0.333,0.800,0.000
86,0,17.200,8.770,0.333,0.800,0.000
87,0,17.400,8.930,0.333,0.800,0.000
88,0,17.600,9.090,0.333,0.800,0.000
89,0,17.800,9.250,0.333,0.800,0.000
90,0,18.000,9.410,0.333,0.800,0.000
91,0,18.200,9.570,0.333,0.800,0.000
92,0,18.400,9.730,0.333,0.800,0.000
93,0,18.600,9.890,0.333,0.800,0.000
94,0,18.800,10.050,0.333,0.800,0.000
95,0,19.000,10.210,0.333,0.800,0.000
96,0,19.200,10.357,0.272,0.739,-0.306
97,0,19.400,10.517,0.272,0.800,0.000
98,0,19.600,10.677,0.272,0.800,0.000
99,0,19.800,10.837,0.272,0.800,0.000
