type,step,episode_id,time_s,robot_x,robot_y,robot_vx,robot_vy,agent_i,agent_x,agent_y,dist,angle_deg,collisions,min_dist,episode_steps,episode_time
step,1,0,0.201,-0.822,-0.687,0.306,-0.739,0,-0.079,-0.066,0.969,39.848,,,,
step,1,0,0.201,-0.822,-0.687,0.306,-0.739,1,0.983,-0.905,1.818,-6.890,,,,
step,1,0,0.201,-0.822,-0.687,0.306,-0.739,2,-0.451,-0.633,0.375,8.257,,,,
step,1,0,0.201,-0.822,-0.687,0.306,-0.739,3,0.944,-0.143,1.848,17.115,,,,
step,1,0,0.201,-0.822,-0.687,0.306,-0.739,4,0.413,1.363,2.393,58.921,,,,
step,1,0,0.201,-0.822,-0.687,0.306,-0.739,5,-1.237,-1.217,0.673,-127.994,,,,
step,1,0,0.201,-0.822,-0.687,0.306,-0.739,6,-0.474,-1.663,1.037,-70.338,,,,
step,1,0,0.201,-0.822,-0.687,0.306,-0.739,7,0.307,1.374,2.350,61.266,,,,
step,1,0,0.201,-0.822,-0.687,0.306,-0.739,8,-1.269,-1.056,0.580,-140.381,,,,
step,1,0,0.201,-0.822,-0.687,0.306,-0.739,9,0.535,1.874,2.898,62.073,,,,
step,1,0,0.201,-0.822,-0.687,0.306,-0.739,10,1.898,-0.603,2.722,1.753,,,,
step,1,0,0.201,-0.822,-0.687,0.306,-0.739,11,1.471,-1.598,2.468,-21.673,,,,
step,1,0,0.201,-0.822,-0.687,0.306,-0.739,12,1.975,-0.518,2.803,3.449,,,,
step,1,0,0.201,-0.822,-0.687,0.306,-0.739,13,0.478,-0.460,1.320,9.869,,,,
step,1,0,0.201,-0.822,-0.687,0.306,-0.739,14,-0.554,-1.668,1.017,-74.705,,,,
step,2,0,0.401,-0.822,-0.847,-0.000,-0.800,0,-0.038,-0.092,1.088,43.891,,,,
step,2,0,0.401,-0.822,-0.847,-0.000,-0.800,1,0.983,-0.905,1.806,-1.844,,,,
step,2,0,0.401,-0.822,-0.847,-0.000,-0.800,2,-0.451,-0.633,0.429,29.930,,,,
step,2,0,0.401,-0.822,-0.847,-0.000,-0.800,3,0.944,-0.143,1.901,21.728,,,,
step,2,0,0.401,-0.822,-0.847,-0.000,-0.800,4,0.413,1.363,2.532,60.791,,,,
step,2,0,0.401,-0.822,-0.847,-0.000,-0.800,5,-1.237,-1.217,0.556,-138.202,,,,
step,2,0,0.401,-0.822,-0.847,-0.000,-0.800,6,-0.474,-1.663,0.888,-66.860,,,,
step,2,0,0.401,-0.822,-0.847,-0.000,-0.800,7,0.307,1.374,2.491,63.035,,,,
step,2,0,0.401,-0.822,-0.847,-0.000,-0.800,8,-1.269,-1.056,0.493,-154.846,,,,
step,2,0,0.401,-0.822,-0.847,-0.000,-0.800,9,0.535,1.874,3.040,63.486,,,,
step,2,0,0.401,-0.822,-0.847,-0.000,-0.800,10,1.898,-0.603,2.731,5.110,,,,
step,2,0,0.401,-0.822,-0.847,-0.000,-0.800,11,1.471,-1.598,2.414,-18.141,,,,
step,2,0,0.401,-0.822,-0.847,-0.000,-0.800,12,1.975,-0.518,2.817,6.699,,,,
step,2,0,0.401,-0.822,-0.847,-0.000,-0.800,13,0.427,-0.414,1.322,19.091,,,,
step,2,0,0.401,-0.822,-0.847,-0.000,-0.800,14,-0.554,-1.668,0.864,-71.905,,,,
step,3,0,0.601,-0.761,-0.994,0.306,-0.739,0,0.002,-0.119,1.161,48.929,,,,
step,3,0,0.601,-0.761,-0.994,0.306,-0.739,1,0.983,-0.905,1.746,2.945,,,,
step,3,0,0.601,-0.761,-0.994,0.306,-0.739,2,-0.451,-0.633,0.477,49.373,,,,
step,3,0,0.601,-0.761,-0.994,0.306,-0.739,3,0.944,-0.143,1.906,26.548,,,,
step,3,0,0.601,-0.761,-0.994,0.306,-0.739,4,0.413,1.363,2.634,63.524,,,,
step,3,0,0.601,-0.761,-0.994,0.306,-0.739,5,-1.237,-1.217,0.525,-154.916,,,,
step,3,0,0.601,-0.761,-0.994,0.306,-0.739,6,-0.474,-1.663,0.728,-66.719,,,,
step,3,0,0.601,-0.761,-0.994,0.306,-0.739,7,0.307,1.374,2.598,65.717,,,,
step,3,0,0.601,-0.761,-0.994,0.306,-0.739,8,-1.269,-1.056,0.512,-173.050,,,,
step,3,0,0.601,-0.761,-0.994,0.306,-0.739,9,0.535,1.874,3.147,65.685,,,,
step,3,0,0.601,-0.761,-0.994,0.306,-0.739,10,1.898,-0.603,2.688,8.366,,,,
step,3,0,0.601,-0.761,-0.994,0.306,-0.739,11,1.471,-1.598,2.313,-15.132,,,,
step,3,0,0.601,-0.761,-0.994,0.306,-0.739,12,1.975,-0.518,2.778,9.877,,,,
step,3,0,0.601,-0.761,-0.994,0.306,-0.739,13,0.437,-0.426,1.326,25.370,,,,
step,3,0,0.601,-0.761,-0.994,0.306,-0.739,14,-0.554,-1.668,0.705,-72.904,,,,
step,4,0,0.801,-0.700,-1.142,0.306,-0.739,0,0.042,-0.145,1.243,53.336,,,,
step,4,0,0.801,-0.700,-1.142,0.306,-0.739,1,0.983,-0.905,1.699,8.035,,,,
step,4,0,0.801,-0.700,-1.142,0.306,-0.739,2,-0.451,-0.633,0.567,63.947,,,,
step,4,0,0.801,-0.700,-1.142,0.306,-0.739,3,0.936,-0.151,1.913,31.210,,,,
