step,episode_id,time_s,rx,ry,rvx,rvy
1,0,0.200,-1.562,-0.319,0.800,0.000
2,0,0.400,-1.402,-0.319,0.800,0.000
3,0,0.600,-1.254,-0.380,0.739,-0.306
4,0,0.800,-1.106,-0.441,0.739,-0.306
5,0,1.000,-0.958,-0.502,0.739,-0.306
6,0,1.200,-0.798,-0.502,0.800,0.000
7,0,1.400,-0.638,-0.502,0.800,0.000
8,0,1.600,-0.478,-0.502,0.800,0.000
9,0,1.800,-0.331,-0.441,0.739,0.306
10,0,2.000,-0.183,-0.380,0.739,0.306
11,0,2.200,-0.035,-0.441,0.739,-0.306
12,0,2.400,0.078,-0.554,0.566,-0.566
13,0,2.600,0.238,-0.554,0.800,0.000
14,0,2.800,0.352,-0.554,0.571,0.000
15,0,3.000,0.500,-0.616,0.739,-0.306
16,0,3.200,0.648,-0.677,0.739,-0.306
17,0,3.400,0.796,-0.738,0.739,-0.306
18,0,3.600,0.956,-0.738,0.800,0.000
19,0,3.800,1.104,-0.677,0.739,0.306
20,0,4.000,1.217,-0.790,0.566,-0.566
21,0,4.200,1.365,-0.851,0.739,-0.306
22,0,4.400,1.525,-0.851,0.800,0.000
23,0,4.600,1.672,-0.912,0.739,-0.306
24,0,4.800,1.832,-0.912,0.800,0.000
25,0,5.000,1.992,-0.912,0.800,0.000
26,0,5.200,2.152,-0.912,0.800,0.000
27,0,5.400,2.312,-0.912,0.800,0.000
28,0,5.600,2.472,-0.912,0.800,0.000
29,0,5.800,2.632,-0.912,0.800,0.000
30,0,6.000,2.780,-0.974,0.739,-0.306
31,0,6.200,2.928,-1.035,0.739,-0.306
32,0,6.400,3.088,-1.035,0.800,0.000
33,0,6.600,3.248,-1.035,0.800,0.000
34,0,6.800,3.408,-1.035,0.800,0.000
35,0,7.000,3.568,-1.035,0.800,0.000
36,0,7.200,3.728,-1.035,0.800,0.000
37,0,7.400,3.888,-1.035,0.800,0.000
38,0,7.600,4.048,-1.035,0.800,0.000
39,0,7.800,4.208,-1.035,0.800,0.000
40,0,8.000,4.368,-1.035,0.800,0.000
