type,step,episode_id,time_s,robot_x,robot_y,robot_vx,robot_vy,agent_i,agent_x,agent_y,dist,angle_deg,collisions,min_dist,episode_steps,episode_time
step,1,0,0.200,-1.635,0.961,0.739,-0.306, ,,,,,
step,2,0,0.400,-1.487,0.900,0.739,-0.306, ,,,,,
step,3,0,0.600,-1.339,0.839,0.739,-0.306, ,,,,,
step,4,0,0.800,-1.179,0.839,0.800,0.000, ,,,,,
step,5,0,1.000,-1.019,0.839,0.800,0.000, ,,,,,
step,6,0,1.200,-0.859,0.839,0.800,0.000, ,,,,,
step,7,0,1.400,-0.699,0.839,0.800,0.000, ,,,,,
step,8,0,1.600,-0.539,0.839,0.800,0.000, ,,,,,
step,9,0,1.800,-0.379,0.839,0.800,0.000, ,,,,,
step,10,0,2.000,-0.219,0.839,0.800,0.000, ,,,,,
step,11,0,2.200,-0.059,0.839,0.800,0.000, ,,,,,
step,12,0,2.400,0.088,0.778,0.739,-0.306, ,,,,,
step,13,0,2.600,0.236,0.716,0.739,-0.306, ,,,,,
step,14,0,2.800,0.396,0.716,0.800,0.000, ,,,,,
step,15,0,3.000,0.556,0.716,0.800,0.000, ,,,,,
step,16,0,3.200,0.704,0.778,0.739,0.306, ,,,,,
step,17,0,3.400,0.852,0.839,0.739,0.306, ,,,,,
step,18,0,3.600,1.000,0.900,0.739,0.306, ,,,,,
step,19,0,3.800,1.147,0.961,0.739,0.306, ,,,,,
step,20,0,4.000,1.295,1.022,0.739,0.306, ,,,,,
step,21,0,4.200,1.443,1.084,0.739,0.306, ,,,,,
step,22,0,4.400,1.556,1.197,0.566,0.566, ,,,,,
step,23,0,4.600,1.669,1.310,0.566,0.566, ,,,,,
step,24,0,4.800,1.817,1.371,0.739,0.306, ,,,,,
step,25,0,5.000,1.965,1.432,0.739,0.306, ,,,,,
step,26,0,5.200,2.078,1.546,0.566,0.566, ,,,,,
step,27,0,5.400,2.226,1.607,0.739,0.306, ,,,,,
step,28,0,5.600,2.374,1.668,0.739,0.306, ,,,,,
step,29,0,5.800,2.522,1.729,0.739,0.306, ,,,,,
step,30,0,6.000,2.669,1.791,0.739,0.306, ,,,,,
step,31,0,6.200,2.817,1.852,0.739,0.306, ,,,,,
step,32,0,6.400,2.965,1.913,0.739,0.306, ,,,,,
step,33,0,6.600,3.113,1.974,0.739,0.306, ,,,,,
step,34,0,6.800,3.261,2.035,0.739,0.306, ,,,,,
step,35,0,7.000,3.409,2.097,0.739,0.306, ,,,,,
step,36,0,7.200,3.556,2.158,0.739,0.306, ,,,,,
step,37,0,7.400,3.704,2.219,0.739,0.306, ,,,,,
step,38,0,7.600,3.852,2.280,0.739,0.306, ,,,,,
step,39,0,7.800,4.012,2.280,0.800,0.000, ,,,,,
step,40,0,8.000,4.172,2.280,0.800,0.000, ,,,,,
step,41,0,8.200,4.332,2.280,0.800,0.000, ,,,,,
step,42,0,8.400,4.492,2.280,0.800,0.000, ,,,,,
step,43,0,8.600,4.652,2.280,0.800,0.000, ,,,,,
step,44,0,8.800,4.800,2.342,0.739,0.306, ,,,,,
step,45,0,9.000,4.960,2.342,0.800,0.000, ,,,,,
step,46,0,9.200,5.120,2.342,0.800,0.000, ,,,,,
step,47,0,9.400,5.280,2.342,0.800,0.000, ,,,,,
step,48,0,9.600,5.440,2.342,0.800,0.000, ,,,,,
step,49,0,9.800,5.600,2.342,0.800,0.000, ,,,,,
step,50,0,10.000,5.760,2.342,0.800,0.000, ,,,,,
step,51,0,10.200,5.920,2.342,0.800,0.000, ,,,,,
step,52,0,10.400,6.080,2.342,0.800,0.000, ,,,,,
step,53,0,10.600,6.240,2.342,0.800,0.000, ,,,,,
step,54,0,10.800,6.400,2.342,0.800,0.000, ,,,,,
step,55,0,11.000,6.560,2.342,0.800,0.000, ,,,,,
step,56,0,11.200,6.720,2.342,0.800,0.000, ,,,,,
step,57,0,11.400,6.880,2.342,0.800,0.000, ,,,,,
step,58,0,11.600,7.040,2.342,0.800,0.000, ,,,,,
step,59,0,11.800,7.200,2.342,0.800,0.000, ,,,,,
step,60,0,12.000,7.360,2.342,0.800,0.000, ,,,,,
step,61,0,12.200,7.520,2.342,0.800,0.000, ,,,,,
step,62,0,12.400,7.680,2.342,0.800,0.000, ,,,,,
step,63,0,12.600,7.840,2.342,0.800,0.000, ,,,,,
step,64,0,12.800,8.000,2.342,0.800,0.000, ,,,,,
step,65,0,13.000,8.160,2.342,0.800,0.000, ,,,,,
step,66,0,13.200,8.320,2.342,0.800,0.000, ,,,,,
step,67,0,13.400,8.480,2.342,0.800,0.000, ,,,,,
step,68,0,13.600,8.640,2.342,0.800,0.000, ,,,,,
step,69,0,13.800,8.800,2.342,0.800,0.000, ,,,,,
step,70,0,14.000,8.960,2.342,0.800,0.000, ,,,,,
step,71,0,14.200,9.120,2.342,0.800,0.000, ,,,,,
step,72,0,14.400,9.280,2.342,0.800,0.000, ,,,,,
step,73,0,14.600,9.440,2.342,0.800,0.000, ,,,,,
step,74,0,14.800,9.600,2.342,0.800,0.000, ,,,,,
step,75,0,15.000,9.760,2.342,0.800,0.000, ,,,,,
step,76,0,15.200,9.920,2.342,0.800,0.000, ,,,,,
step,77,0,15.400,10.080,2.342,0.800,0.000, ,,,,,
step,78,0,15.600,10.240,2.342,0.800,0.000, ,,,,,
step,79,0,15.800,10.400,2.342,0.800,0.000, ,,,,,
step,80,0,16.000,10.560,2.342,0.800,0.000, ,,,,,
step,81,0,16.200,10.720,2.342,0.800,0.000, ,,,,,
