type,step,episode_id,time_s,robot_x,robot_y,robot_vx,robot_vy,agent_i,agent_x,agent_y,dist,angle_deg,collisions,min_dist,episode_steps,episode_time
step,1,0,0.200,-1.570,1.105,0.739,-0.306,0,-1.651,1.890,0.789,95.910,,,,
step,1,0,0.200,-1.570,1.105,0.739,-0.306,1,0.208,0.278,1.961,-24.945,,,,
step,1,0,0.200,-1.570,1.105,0.739,-0.306,2,-0.913,-0.683,1.905,-69.830,,,,
step,1,0,0.200,-1.570,1.105,0.739,-0.306,3,1.298,-1.984,4.216,-47.128,,,,
step,1,0,0.200,-1.570,1.105,0.739,-0.306,4,-0.018,1.298,1.564,7.081,,,,
step,1,0,0.200,-1.570,1.105,0.739,-0.306,5,1.227,-0.853,3.415,-34.999,,,,
step,1,0,0.200,-1.570,1.105,0.739,-0.306,6,0.672,-1.096,3.142,-44.464,,,,
step,1,0,0.200,-1.570,1.105,0.739,-0.306,7,-0.466,0.701,1.176,-20.106,,,,
step,1,0,0.200,-1.570,1.105,0.739,-0.306,8,-1.245,1.656,0.639,59.462,,,,
step,1,0,0.200,-1.570,1.105,0.739,-0.306,9,1.685,0.671,3.284,-7.608,,,,
step,1,0,0.200,-1.570,1.105,0.739,-0.306,10,0.403,1.653,2.048,15.503,,,,
step,1,0,0.200,-1.570,1.105,0.739,-0.306,11,1.366,1.457,2.957,6.837,,,,
step,1,0,0.200,-1.570,1.105,0.739,-0.306,12,1.661,-0.877,3.791,-31.528,,,,
step,1,0,0.200,-1.570,1.105,0.739,-0.306,13,-1.857,-1.140,2.263,-97.276,,,,
step,1,0,0.200,-1.570,1.105,0.739,-0.306,14,-0.181,-1.403,2.867,-61.026,,,,
step,2,0,0.400,-1.410,1.105,0.800,0.000,0,-1.651,1.890,0.821,107.091,,,,
step,2,0,0.400,-1.410,1.105,0.800,0.000,1,0.184,0.256,1.807,-28.047,,,,
step,2,0,0.400,-1.410,1.105,0.800,0.000,2,-0.913,-0.683,1.856,-74.473,,,,
