type,step,episode_id,time_s,robot_x,robot_y,robot_vx,robot_vy,agent_i,agent_x,agent_y,dist,angle_deg,collisions,min_dist,episode_steps,episode_time
step,1,0,0.201,1.044,1.336,-0.566,0.566,0,-0.517,-0.854,2.690,-125.480,,,,
step,1,0,0.201,1.044,1.336,-0.566,0.566,1,-1.807,0.612,2.942,-165.746,,,,
step,1,0,0.201,1.044,1.336,-0.566,0.566,2,-1.537,1.413,2.583,178.295,,,,
step,1,0,0.201,1.044,1.336,-0.566,0.566,3,0.882,0.097,1.250,-97.443,,,,
step,1,0,0.201,1.044,1.336,-0.566,0.566,4,1.849,1.581,0.841,16.905,,,,
step,1,0,0.201,1.044,1.336,-0.566,0.566,5,-1.470,-1.332,3.666,-133.288,,,,
step,1,0,0.201,1.044,1.336,-0.566,0.566,6,0.428,-0.470,1.908,-108.826,,,,
step,1,0,0.201,1.044,1.336,-0.566,0.566,7,0.154,0.114,1.512,-126.065,,,,
step,1,0,0.201,1.044,1.336,-0.566,0.566,8,-0.307,0.413,1.637,-145.649,,,,
step,1,0,0.201,1.044,1.336,-0.566,0.566,9,-1.306,-1.314,3.542,-131.569,,,,
step,1,0,0.201,1.044,1.336,-0.566,0.566,10,-0.666,1.219,1.715,-176.066,,,,
step,1,0,0.201,1.044,1.336,-0.566,0.566,11,-1.388,1.154,2.439,-175.717,,,,
step,1,0,0.201,1.044,1.336,-0.566,0.566,12,-0.296,1.996,1.494,153.790,,,,
step,1,0,0.201,1.044,1.336,-0.566,0.566,13,0.129,0.070,1.563,-125.869,,,,
step,1,0,0.201,1.044,1.336,-0.566,0.566,14,-1.942,1.784,3.019,171.472,,,,
step,2,0,0.401,0.931,1.450,-0.566,0.566,0,-0.517,-0.854,2.721,-122.155,,,,
step,2,0,0.401,0.931,1.450,-0.566,0.566,1,-1.807,0.612,2.863,-162.993,,,,
step,2,0,0.401,0.931,1.450,-0.566,0.566,2,-1.490,1.448,2.421,-179.976,,,,
step,2,0,0.401,0.931,1.450,-0.566,0.566,3,0.882,0.097,1.354,-92.066,,,,
step,2,0,0.401,0.931,1.450,-0.566,0.566,4,1.839,1.529,0.911,5.026,,,,
step,2,0,0.401,0.931,1.450,-0.566,0.566,5,-1.403,-1.392,3.678,-129.401,,,,
step,2,0,0.401,0.931,1.450,-0.566,0.566,6,0.428,-0.470,1.984,-104.676,,,,
step,2,0,0.401,0.931,1.450,-0.566,0.566,7,0.154,0.114,1.545,-120.195,,,,
step,2,0,0.401,0.931,1.450,-0.566,0.566,8,-0.307,0.413,1.615,-140.061,,,,
step,2,0,0.401,0.931,1.450,-0.566,0.566,9,-1.306,-1.314,3.555,-128.994,,,,
step,2,0,0.401,0.931,1.450,-0.566,0.566,10,-0.666,1.219,1.614,-171.780,,,,
step,2,0,0.401,0.931,1.450,-0.566,0.566,11,-1.388,1.154,2.338,-172.744,,,,
step,2,0,0.401,0.931,1.450,-0.566,0.566,12,-0.296,1.996,1.343,155.988,,,,
step,2,0,0.401,0.931,1.450,-0.566,0.566,13,0.129,0.070,1.596,-120.187,,,,
step,2,0,0.401,0.931,1.450,-0.566,0.566,14,-1.984,1.701,2.925,175.067,,,,
step,3,0,0.601,0.818,1.563,-0.566,0.566,0,-0.517,-0.854,2.761,-118.915,,,,
step,3,0,0.601,0.818,1.563,-0.566,0.566,1,-1.807,0.612,2.792,-160.092,,,,
step,3,0,0.601,0.818,1.563,-0.566,0.566,2,-1.505,1.419,2.328,-176.461,,,,
step,3,0,0.601,0.818,1.563,-0.566,0.566,3,0.882,0.097,1.467,-87.487,,,,
step,3,0,0.601,0.818,1.563,-0.566,0.566,4,1.829,1.478,1.014,-4.801,,,,
step,3,0,0.601,0.818,1.563,-0.566,0.566,5,-1.337,-1.452,3.706,-125.555,,,,
step,3,0,0.601,0.818,1.563,-0.566,0.566,6,0.428,-0.470,2.069,-100.849,,,,
step,3,0,0.601,0.818,1.563,-0.566,0.566,7,0.154,0.114,1.594,-114.625,,,,
step,3,0,0.601,0.818,1.563,-0.566,0.566,8,-0.307,0.413,1.609,-134.376,,,,
step,3,0,0.601,0.818,1.563,-0.566,0.566,9,-1.306,-1.314,3.576,-126.443,,,,
step,3,0,0.601,0.818,1.563,-0.566,0.566,10,-0.666,1.219,1.524,-166.955,,,,
step,3,0,0.601,0.818,1.563,-0.566,0.566,11,-1.388,1.154,2.243,-169.511,,,,
step,3,0,0.601,0.818,1.563,-0.566,0.566,12,-0.296,1.996,1.195,158.736,,,,
step,3,0,0.601,0.818,1.563,-0.566,0.566,13,0.129,0.070,1.644,-114.788,,,,
step,3,0,0.601,0.818,1.563,-0.566,0.566,14,-2.025,1.618,2.844,178.884,,,,
step,4,0,0.800,0.705,1.676,-0.566,0.566,0,-0.517,-0.854,2.809,-115.778,,,,
step,4,0,0.800,0.705,1.676,-0.566,0.566,1,-1.807,0.612,2.728,-157.047,,,,
step,4,0,0.800,0.705,1.676,-0.566,0.566,2,-1.521,1.389,2.244,-172.670,,,,
step,4,0,0.800,0.705,1.676,-0.566,0.566,3,0.882,0.097,1.589,-83.587,,,,
step,4,0,0.800,0.705,1.676,-0.566,0.566,4,1.831,1.487,1.142,-9.511,,,,
step,4,0,0.800,0.705,1.676,-0.566,0.566,5,-1.270,-1.512,3.750,-121.784,,,,
step,4,0,0.800,0.705,1.676,-0.566,0.566,6,0.428,-0.470,2.163,-97.340,,,,
step,4,0,0.800,0.705,1.676,-0.566,0.566,7,0.154,0.114,1.656,-109.429,,,,
step,4,0,0.800,0.705,1.676,-0.566,0.566,8,-0.307,0.413,1.618,-128.702,,,,
step,4,0,0.800,0.705,1.676,-0.566,0.566,9,-1.306,-1.314,3.603,-123.927,,,,
step,4,0,0.800,0.705,1.676,-0.566,0.566,10,-0.666,1.219,1.445,-161.566,,,,
step,4,0,0.800,0.705,1.676,-0.566,0.566,11,-1.388,1.154,2.157,-166.006,,,,
step,4,0,0.800,0.705,1.676,-0.566,0.566,12,-0.332,2.028,1.095,161.214,,,,
step,4,0,0.800,0.705,1.676,-0.566,0.566,13,0.129,0.070,1.706,-109.739,,,,
step,4,0,0.800,0.705,1.676,-0.566,0.566,14,-2.067,1.535,2.776,-177.093,,,,
step,5,0,1.000,0.592,1.789,-0.566,0.566,0,-0.517,-0.854,2.866,-112.756,,,,
step,5,0,1.000,0.592,1.789,-0.566,0.566,1,-1.807,0.612,2.672,-153.865,,,,
step,5,0,1.000,0.592,1.789,-0.566,0.566,2,-1.537,1.360,2.171,-168.604,,,,
step,5,0,1.000,0.592,1.789,-0.566,0.566,3,0.882,0.097,1.717,-80.255,,,,
step,5,0,1.000,0.592,1.789,-0.566,0.566,4,1.833,1.496,1.275,-13.255,,,,
step,5,0,1.000,0.592,1.789,-0.566,0.566,5,-1.204,-1.572,3.810,-118.116,,,,
step,5,0,1.000,0.592,1.789,-0.566,0.566,6,0.428,-0.470,2.265,-94.134,,,,
step,5,0,1.000,0.592,1.789,-0.566,0.566,7,0.154,0.114,1.731,-104.648,,,,
step,5,0,1.000,0.592,1.789,-0.566,0.566,8,-0.307,0.413,1.644,-123.150,,,,
step,5,0,1.000,0.592,1.789,-0.566,0.566,9,-1.306,-1.314,3.637,-121.452,,,,
step,5,0,1.000,0.592,1.789,-0.566,0.566,10,-0.666,1.219,1.381,-155.618,,,,
step,5,0,1.000,0.592,1.789,-0.566,0.566,11,-1.388,1.154,2.079,-162.224,,,,
