step,time_s,robot_x,robot_y,robot_vx,robot_vy,agent_i,agent_x,agent_y,dist,angle_deg
1,0.320,1.255,2.031,0.000,0.571,0,-1.575,-0.170,3.585,-142.135
1,0.320,1.255,2.031,0.000,0.571,1,-1.526,0.795,3.043,-156.035
1,0.320,1.255,2.031,0.000,0.571,2,1.001,0.819,1.239,-101.854
1,0.320,1.255,2.031,0.000,0.571,3,-1.512,-0.974,4.085,-132.646
1,0.320,1.255,2.031,0.000,0.571,4,-0.308,0.615,2.109,-137.825
1,0.320,1.255,2.031,0.000,0.571,5,0.543,-1.924,4.019,-100.207
1,0.320,1.255,2.031,0.000,0.571,6,-0.104,-1.166,3.473,-113.028
1,0.320,1.255,2.031,0.000,0.571,7,-0.754,0.014,2.847,-134.893
1,0.320,1.255,2.031,0.000,0.571,8,-1.050,-0.121,3.154,-136.971
1,0.320,1.255,2.031,0.000,0.571,9,0.820,1.407,0.760,-124.908
1,0.320,1.255,2.031,0.000,0.571,10,1.849,1.186,1.032,-54.887
1,0.320,1.255,2.031,0.000,0.571,11,1.585,0.269,1.792,-79.390
1,0.320,1.255,2.031,0.000,0.571,12,0.610,1.376,0.919,-134.592
1,0.320,1.255,2.031,0.000,0.571,13,1.866,-1.683,3.764,-80.668
1,0.320,1.255,2.031,0.000,0.571,14,0.934,-0.515,2.566,-97.184
2,0.461,1.415,2.031,0.800,0.000,0,-1.524,-0.081,3.619,-144.298
2,0.461,1.415,2.031,0.800,0.000,1,-1.526,0.795,3.190,-157.202
2,0.461,1.415,2.031,0.800,0.000,2,1.001,0.819,1.281,-108.876
2,0.461,1.415,2.031,0.800,0.000,3,-1.512,-0.974,4.195,-134.253
2,0.461,1.415,2.031,0.800,0.000,4,-0.308,0.615,2.230,-140.586
2,0.461,1.415,2.031,0.800,0.000,5,0.543,-1.924,4.050,-102.435
2,0.461,1.415,2.031,0.800,0.000,6,-0.104,-1.166,3.539,-115.413
2,0.461,1.415,2.031,0.800,0.000,7,-0.754,0.014,2.962,-137.086
2,0.461,1.415,2.031,0.800,0.000,8,-1.050,-0.121,3.272,-138.883
2,0.461,1.415,2.031,0.800,0.000,9,0.820,1.407,0.862,-133.663
2,0.461,1.415,2.031,0.800,0.000,10,1.849,1.186,0.949,-62.811
2,0.461,1.415,2.031,0.800,0.000,11,1.585,0.269,1.770,-84.488
2,0.461,1.415,2.031,0.800,0.000,12,0.610,1.376,1.038,-140.896
2,0.461,1.415,2.031,0.800,0.000,13,1.866,-1.683,3.741,-83.087
2,0.461,1.415,2.031,0.800,0.000,14,1.020,-0.523,2.584,-98.803
3,0.660,1.563,1.970,0.739,-0.306,0,-1.473,0.007,3.615,-147.119
3,0.660,1.563,1.970,0.739,-0.306,1,-1.506,0.740,3.306,-158.167
3,0.660,1.563,1.970,0.739,-0.306,2,1.001,0.819,1.281,-116.037
3,0.660,1.563,1.970,0.739,-0.306,3,-1.512,-0.974,4.257,-136.254
3,0.660,1.563,1.970,0.739,-0.306,4,-0.355,0.541,2.392,-143.310
3,0.660,1.563,1.970,0.739,-0.306,5,0.543,-1.924,4.025,-104.678
3,0.660,1.563,1.970,0.739,-0.306,6,-0.104,-1.166,3.551,-117.992
3,0.660,1.563,1.970,0.739,-0.306,7,-0.754,0.014,3.032,-139.836
3,0.660,1.563,1.970,0.739,-0.306,8,-1.120,-0.161,3.426,-141.542
3,0.660,1.563,1.970,0.739,-0.306,9,0.768,1.466,0.942,-147.630
3,0.660,1.563,1.970,0.739,-0.306,10,1.849,1.186,0.834,-69.942
3,0.660,1.563,1.970,0.739,-0.306,11,1.585,0.269,1.701,-89.253
3,0.660,1.563,1.970,0.739,-0.306,12,0.610,1.376,1.123,-148.098
3,0.660,1.563,1.970,0.739,-0.306,13,1.866,-1.683,3.665,-85.266
3,0.660,1.563,1.970,0.739,-0.306,14,1.105,-0.530,2.542,-100.378
4,0.864,1.711,1.909,0.739,-0.306,0,-1.421,0.096,3.619,-149.941
4,0.864,1.711,1.909,0.739,-0.306,1,-1.486,0.686,3.422,-159.066
4,0.864,1.711,1.909,0.739,-0.306,2,1.008,0.829,1.288,-123.093
4,0.864,1.711,1.909,0.739,-0.306,3,-1.476,-1.014,4.324,-137.481
4,0.864,1.711,1.909,0.739,-0.306,4,-0.402,0.467,2.558,-145.685
4,0.864,1.711,1.909,0.739,-0.306,5,0.543,-1.924,4.007,-106.945
4,0.864,1.711,1.909,0.739,-0.306,6,-0.104,-1.166,3.570,-120.549
4,0.864,1.711,1.909,0.739,-0.306,7,-0.754,0.014,3.109,-142.457
4,0.864,1.711,1.909,0.739,-0.306,8,-1.190,-0.202,3.587,-143.967
4,0.864,1.711,1.909,0.739,-0.306,9,0.715,1.524,1.067,-158.872
4,0.864,1.711,1.909,0.739,-0.306,10,1.849,1.186,0.735,-79.168
4,0.864,1.711,1.909,0.739,-0.306,11,1.585,0.269,1.644,-94.383
4,0.864,1.711,1.909,0.739,-0.306,12,0.610,1.376,1.223,-154.205
4,0.864,1.711,1.909,0.739,-0.306,13,1.866,-1.683,3.595,-87.534
4,0.864,1.711,1.909,0.739,-0.306,14,1.191,-0.538,2.502,-102.005
5,1.068,1.859,1.847,0.739,-0.306,0,-1.370,0.184,3.632,-152.749
5,1.068,1.859,1.847,0.739,-0.306,1,-1.466,0.631,3.540,-159.906
5,1.068,1.859,1.847,0.739,-0.306,2,1.039,0.786,1.341,-127.676
5,1.068,1.859,1.847,0.739,-0.306,3,-1.440,-1.054,4.393,-138.670
5,1.068,1.859,1.847,0.739,-0.306,4,-0.449,0.392,2.728,-147.767
5,1.068,1.859,1.847,0.739,-0.306,5,0.656,-1.952,3.985,-107.570
5,1.068,1.859,1.847,0.739,-0.306,6,-0.104,-1.166,3.596,-123.074
5,1.068,1.859,1.847,0.739,-0.306,7,-0.754,0.014,3.192,-144.946
5,1.068,1.859,1.847,0.739,-0.306,8,-1.260,-0.242,3.754,-146.181
5,1.068,1.859,1.847,0.739,-0.306,9,0.663,1.582,1.225,-167.493
5,1.068,1.859,1.847,0.739,-0.306,10,1.849,1.186,0.661,-90.838
5,1.068,1.859,1.847,0.739,-0.306,11,1.593,0.164,1.704,-98.983
5,1.068,1.859,1.847,0.739,-0.306,12,0.610,1.376,1.335,-159.341
5,1.068,1.859,1.847,0.739,-0.306,13,1.866,-1.683,3.530,-89.889
5,1.068,1.859,1.847,0.739,-0.306,14,1.276,-0.546,2.463,-103.683
6,1.267,2.007,1.786,0.739,-0.306,0,-1.319,0.273,3.654,-155.530
6,1.267,2.007,1.786,0.739,-0.306,1,-1.446,0.576,3.658,-160.691
6,1.267,2.007,1.786,0.739,-0.306,2,1.071,0.743,1.401,-131.889
6,1.267,2.007,1.786,0.739,-0.306,3,-1.404,-1.094,4.464,-139.821
6,1.267,2.007,1.786,0.739,-0.306,4,-0.431,0.381,2.813,-150.051
6,1.267,2.007,1.786,0.739,-0.306,5,0.768,-1.980,3.964,-108.202
6,1.267,2.007,1.786,0.739,-0.306,6,-0.035,-1.176,3.597,-124.580
6,1.267,2.007,1.786,0.739,-0.306,7,-0.754,0.014,3.280,-147.305
6,1.267,2.007,1.786,0.739,-0.306,8,-1.330,-0.283,3.926,-148.203
6,1.267,2.007,1.786,0.739,-0.306,9,0.611,1.640,1.404,-174.038
6,1.267,2.007,1.786,0.739,-0.306,10,1.849,1.186,0.620,-104.717
6,1.267,2.007,1.786,0.739,-0.306,11,1.600,0.059,1.775,-103.244
6,1.267,2.007,1.786,0.739,-0.306,12,0.610,1.376,1.455,-163.653
6,1.267,2.007,1.786,0.739,-0.306,13,1.866,-1.683,3.472,-92.328
6,1.267,2.007,1.786,0.739,-0.306,14,1.361,-0.554,2.428,-105.413
7,1.464,2.154,1.725,0.739,-0.306,0,-1.268,0.361,3.684,-158.272
