type,step,episode_id,time_s,robot_x,robot_y,robot_vx,robot_vy,agent_i,agent_x,agent_y,dist,angle_deg,collisions,min_dist,episode_steps,episode_time
step,1,0,0.201,-0.128,-1.779,-0.739,-0.306,0,-1.861,1.357,3.584,118.932,,,,
step,1,0,0.201,-0.128,-1.779,-0.739,-0.306,1,-0.229,-0.642,1.142,95.094,,,,
step,1,0,0.201,-0.128,-1.779,-0.739,-0.306,2,0.868,-1.683,1.001,5.518,,,,
step,1,0,0.201,-0.128,-1.779,-0.739,-0.306,3,0.222,-1.766,0.350,2.200,,,,
step,1,0,0.201,-0.128,-1.779,-0.739,-0.306,4,-0.788,-0.470,1.466,116.756,,,,
step,1,0,0.201,-0.128,-1.779,-0.739,-0.306,5,1.712,0.828,3.191,54.790,,,,
step,1,0,0.201,-0.128,-1.779,-0.739,-0.306,6,0.969,1.715,3.663,72.580,,,,
step,1,0,0.201,-0.128,-1.779,-0.739,-0.306,7,1.120,0.575,2.665,62.077,,,,
step,1,0,0.201,-0.128,-1.779,-0.739,-0.306,8,-1.914,0.965,3.275,123.053,,,,
step,1,0,0.201,-0.128,-1.779,-0.739,-0.306,9,-0.898,-0.261,1.703,116.908,,,,
step,1,0,0.201,-0.128,-1.779,-0.739,-0.306,10,-1.378,1.406,3.422,111.422,,,,
step,1,0,0.201,-0.128,-1.779,-0.739,-0.306,11,-1.130,-1.640,1.012,172.055,,,,
step,1,0,0.201,-0.128,-1.779,-0.739,-0.306,12,-1.798,1.528,3.705,116.788,,,,
step,1,0,0.201,-0.128,-1.779,-0.739,-0.306,13,-0.936,-0.840,1.240,130.734,,,,
step,1,0,0.201,-0.128,-1.779,-0.739,-0.306,14,1.779,-1.001,2.060,22.212,,,,
step,2,0,0.400,-0.288,-1.779,-0.800,0.000,0,-1.861,1.357,3.509,116.645,,,,
step,2,0,0.400,-0.288,-1.779,-0.800,0.000,1,-0.229,-0.642,1.139,87.049,,,,
step,2,0,0.400,-0.288,-1.779,-0.800,0.000,2,0.868,-1.683,1.160,4.758,,,,
step,2,0,0.400,-0.288,-1.779,-0.800,0.000,3,0.277,-1.775,0.565,0.416,,,,
step,2,0,0.400,-0.288,-1.779,-0.800,0.000,4,-0.788,-0.470,1.401,110.905,,,,
step,2,0,0.400,-0.288,-1.779,-0.800,0.000,5,1.712,0.828,3.286,52.510,,,,
step,2,0,0.400,-0.288,-1.779,-0.800,0.000,6,0.969,1.715,3.714,70.224,,,,
step,2,0,0.400,-0.288,-1.779,-0.800,0.000,7,1.120,0.575,2.743,59.123,,,,
step,2,0,0.400,-0.288,-1.779,-0.800,0.000,8,-1.914,0.965,3.190,120.644,,,,
step,2,0,0.400,-0.288,-1.779,-0.800,0.000,9,-0.898,-0.261,1.637,111.907,,,,
step,2,0,0.400,-0.288,-1.779,-0.800,0.000,10,-1.378,1.406,3.367,108.886,,,,
step,2,0,0.400,-0.288,-1.779,-0.800,0.000,11,-1.130,-1.640,0.854,170.571,,,,
step,2,0,0.400,-0.288,-1.779,-0.800,0.000,12,-1.804,1.525,3.636,114.653,,,,
step,2,0,0.400,-0.288,-1.779,-0.800,0.000,13,-0.936,-0.840,1.142,124.637,,,,
step,2,0,0.400,-0.288,-1.779,-0.800,0.000,14,1.779,-1.001,2.209,20.642,,,,
step,3,0,0.600,-0.349,-1.927,-0.306,-0.739,0,-1.861,1.357,3.616,114.727,,,,
step,3,0,0.600,-0.349,-1.927,-0.306,-0.739,1,-0.229,-0.642,1.291,84.672,,,,
step,3,0,0.600,-0.349,-1.927,-0.306,-0.739,2,0.868,-1.683,1.241,11.337,,,,
step,3,0,0.600,-0.349,-1.927,-0.306,-0.739,3,0.333,-1.785,0.697,11.814,,,,
step,3,0,0.600,-0.349,-1.927,-0.306,-0.739,4,-0.788,-0.470,1.522,106.761,,,,
step,3,0,0.600,-0.349,-1.927,-0.306,-0.739,5,1.712,0.828,3.441,53.199,,,,
step,3,0,0.600,-0.349,-1.927,-0.306,-0.739,6,0.969,1.715,3.874,70.111,,,,
step,3,0,0.600,-0.349,-1.927,-0.306,-0.739,7,1.120,0.575,2.902,59.583,,,,
step,3,0,0.600,-0.349,-1.927,-0.306,-0.739,8,-1.881,1.029,3.330,117.388,,,,
step,3,0,0.600,-0.349,-1.927,-0.306,-0.739,9,-0.898,-0.261,1.755,108.249,,,,
step,3,0,0.600,-0.349,-1.927,-0.306,-0.739,10,-1.378,1.406,3.489,107.149,,,,
step,3,0,0.600,-0.349,-1.927,-0.306,-0.739,11,-1.130,-1.640,0.833,159.781,,,,
step,3,0,0.600,-0.349,-1.927,-0.306,-0.739,12,-1.811,1.523,3.747,112.971,,,,
step,3,0,0.600,-0.349,-1.927,-0.306,-0.739,13,-0.936,-0.840,1.236,118.393,,,,
step,3,0,0.600,-0.349,-1.927,-0.306,-0.739,14,1.779,-1.001,2.321,23.526,,,,
step,4,0,0.800,-0.430,-2.008,-0.403,-0.403,0,-1.861,1.357,3.657,113.050,,,,
step,4,0,0.800,-0.430,-2.008,-0.403,-0.403,1,-0.229,-0.642,1.380,81.647,,,,
step,4,0,0.800,-0.430,-2.008,-0.403,-0.403,2,0.796,-1.626,1.284,17.320,,,,
step,4,0,0.800,-0.430,-2.008,-0.403,-0.403,3,0.264,-1.839,0.713,13.670,,,,
step,4,0,0.800,-0.430,-2.008,-0.403,-0.403,4,-0.788,-0.470,1.579,103.111,,,,
step,4,0,0.800,-0.430,-2.008,-0.403,-0.403,5,1.712,0.828,3.554,52.937,,,,
step,4,0,0.800,-0.430,-2.008,-0.403,-0.403,6,0.969,1.715,3.977,69.414,,,,
step,4,0,0.800,-0.430,-2.008,-0.403,-0.403,7,1.120,0.575,3.012,59.036,,,,
step,4,0,0.800,-0.430,-2.008,-0.403,-0.403,8,-1.848,1.093,3.410,114.571,,,,
step,4,0,0.800,-0.430,-2.008,-0.403,-0.403,9,-0.898,-0.261,1.809,105.020,,,,
step,4,0,0.800,-0.430,-2.008,-0.403,-0.403,10,-1.409,1.362,3.510,106.209,,,,
step,4,0,0.800,-0.430,-2.008,-0.403,-0.403,11,-1.130,-1.640,0.792,152.259,,,,
step,4,0,0.800,-0.430,-2.008,-0.403,-0.403,12,-1.818,1.520,3.792,111.484,,,,
step,4,0,0.800,-0.430,-2.008,-0.403,-0.403,13,-0.936,-0.840,1.273,113.465,,,,
step,4,0,0.800,-0.430,-2.008,-0.403,-0.403,14,1.779,-1.001,2.427,24.512,,,,
step,5,0,1.000,-0.491,-2.156,-0.306,-0.739,0,-1.861,1.357,3.771,111.314,,,,
step,5,0,1.000,-0.491,-2.156,-0.306,-0.739,1,-0.229,-0.642,1.536,80.188,,,,
